pan_id,dataproduct,ref,vea,rtn,rms,sza_left,sza_right
118,O4VIS,RefFix,-5.0,IX,"[0.0092398, 0.009427999999999999, 0.011620249999999999, 0.0081288, 0.006633399999999999, 0.0039871]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-4.0,IW,[],[],[]
118,O4VIS,RefFix,-4.0,IX,"[0.008678199999999999, 0.008721999999999999, 0.01239375, 0.00931605, 0.00834395, 0.0068629]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-3.0,IW,[],[],[]
118,O4VIS,RefFix,-3.0,IX,"[0.0085097, 0.008799199999999998, 0.010871, 0.0081953, 0.0072011, 0.0058324499999999994]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-2.0,IW,[],[],[]
118,O4VIS,RefFix,-2.0,IX,"[0.0073999999999999995, 0.008045799999999997, 0.009592599999999996, 0.0098175, 0.015311499999999995, 0.017196999999999994]","[28.54, 37.952, 47.364, 56.776, 66.187, 75.599]","[37.952, 47.364, 56.776, 66.187, 75.599, 85.011]"
118,O4VIS,RefFix,-1.8,IW,[],[],[]
118,O4VIS,RefFix,-1.8,IX,"[0.007291499999999999, 0.00821875, 0.009641, 0.008166, 0.0070989, 0.0060434]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-1.6,IW,[],[],[]
118,O4VIS,RefFix,-1.6,IX,"[0.0070980999999999995, 0.0081195, 0.00905525, 0.0076935, 0.0069368, 0.0058846]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-1.2,IW,[],[],[]
118,O4VIS,RefFix,-1.2,IX,"[0.0062469, 0.007648749999999999, 0.007883000000000001, 0.0070967999999999995, 0.006231, 0.005139100000000001]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-1.1,IW,[],[],[]
118,O4VIS,RefFix,-1.1,IX,"[0.0066243, 0.007345, 0.0087305, 0.007421499999999999, 0.0062923, 0.0054639]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,RefFix,-1.0,IW,[],[],[]
118,O4VIS,RefFix,-1.0,IX,"[0.00574595, 0.0065677999999999995, 0.0052844, 0.0073196, 0.005702199999999999, 0.00454115]","[28.54, 28.748, 28.957, 29.166, 29.374, 29.582]","[28.748, 28.957, 29.166, 29.374, 29.582, 29.791]"
118,O4VIS,RefFix,-0.8,IW,[],[],[]
